block_id,Ward_Code,ward,area_m2,area_ha,target_m2,deviation_pct,status,building_count
W06-B107,W06,Ward 6,33344.80492122622,3.334480492122622,10000,233.4480492122622,above_preferred,13
W06-B108,W06,Ward 6,33344.80492122622,3.334480492122622,10000,233.4480492122622,above_preferred,7
W06-B109,W06,Ward 6,33344.80492122622,3.334480492122622,10000,233.4480492122622,above_preferred,4
W06-B110,W06,Ward 6,33344.804921206254,3.3344804921206253,10000,233.44804921206253,above_preferred,1
W06-B111,W06,Ward 6,33344.804921206254,3.3344804921206253,10000,233.44804921206253,above_preferred,6
W06-B112,W06,Ward 6,33339.06194637077,3.333906194637077,10000,233.3906194637077,above_preferred,17
W06-B113,W06,Ward 6,33339.061946360576,3.3339061946360578,10000,233.3906194636058,above_preferred,17
W06-B114,W06,Ward 6,33339.061946360576,3.3339061946360578,10000,233.3906194636058,above_preferred,8
W06-B115,W06,Ward 6,33339.061946360576,3.3339061946360578,10000,233.3906194636058,above_preferred,1
W06-B116,W06,Ward 6,33339.061946360576,3.3339061946360578,10000,233.3906194636058,above_preferred,9
W06-B117,W06,Ward 6,33339.061946360576,3.3339061946360578,10000,233.3906194636058,above_preferred,12
W06-B118,W06,Ward 6,33335.02614234283,3.333502614234283,10000,233.35026142342832,above_preferred,30
W06-B119,W06,Ward 6,33307.714677593896,3.33077146775939,10000,233.07714677593899,above_preferred,29
W06-B120,W06,Ward 6,33171.968587543844,3.3171968587543845,10000,231.71968587543844,above_preferred,0
W06-B121,W06,Ward 6,33077.997001084,3.3077997001084,10000,230.77997001083997,above_preferred,29
W06-B122,W06,Ward 6,33077.99700106437,3.3077997001064365,10000,230.77997001064367,above_preferred,17
W06-B123,W06,Ward 6,33011.356871999444,3.3011356871999444,10000,230.11356871999445,above_preferred,10
W06-B124,W06,Ward 6,32943.40149898105,3.294340149898105,10000,229.43401498981052,above_preferred,5
W06-B125,W06,Ward 6,32943.40149898105,3.294340149898105,10000,229.43401498981052,above_preferred,33
W06-B126,W06,Ward 6,32943.40149896124,3.294340149896124,10000,229.4340149896124,above_preferred,32
W06-B127,W06,Ward 6,32633.829197581854,3.263382919758185,10000,226.33829197581852,above_preferred,27
W06-B128,W06,Ward 6,32432.631956683417,3.2432631956683418,10000,224.32631956683417,above_preferred,3
W06-B129,W06,Ward 6,32366.45029420958,3.236645029420958,10000,223.6645029420958,above_preferred,23
W06-B130,W06,Ward 6,32244.6268416045,3.22446268416045,10000,222.446268416045,above_preferred,24
W06-B131,W06,Ward 6,32043.51734195945,3.204351734195945,10000,220.4351734195945,above_preferred,1
W06-B132,W06,Ward 6,32029.122829218315,3.2029122829218317,10000,220.29122829218318,above_preferred,35
W06-B133,W06,Ward 6,31868.140596773097,3.18681405967731,10000,218.68140596773097,above_preferred,53
W06-B134,W06,Ward 6,31864.345170182118,3.1864345170182116,10000,218.64345170182116,above_preferred,19
W06-B135,W06,Ward 6,31759.64388880012,3.175964388880012,10000,217.59643888800122,above_preferred,39
W06-B136,W06,Ward 6,31736.740122192925,3.1736740122192924,10000,217.36740122192924,above_preferred,0
W06-B137,W06,Ward 6,31638.901146657605,3.1638901146657603,10000,216.38901146657602,above_preferred,11
W06-B138,W06,Ward 6,31638.901146657605,3.1638901146657603,10000,216.38901146657602,above_preferred,12
W06-B139,W06,Ward 6,31285.863210883508,3.128586321088351,10000,212.85863210883508,above_preferred,21
W06-B140,W06,Ward 6,31200.56144881047,3.120056144881047,10000,212.0056144881047,above_preferred,18
W06-B141,W06,Ward 6,31032.628050546366,3.1032628050546367,10000,210.32628050546367,above_preferred,10
W06-B142,W06,Ward 6,31014.604817644587,3.101460481764459,10000,210.1460481764459,above_preferred,28
W06-B143,W06,Ward 6,31013.25764060818,3.101325764060818,10000,210.1325764060818,above_preferred,0
W06-B144,W06,Ward 6,31003.350639194145,3.1003350639194145,10000,210.03350639194144,above_preferred,27
W06-B145,W06,Ward 6,30855.876164375546,3.0855876164375546,10000,208.55876164375547,above_preferred,0
W06-B146,W06,Ward 6,30854.802925438424,3.0854802925438425,10000,208.54802925438426,above_preferred,0
W06-B147,W06,Ward 6,30804.08065201727,3.080408065201727,10000,208.04080652017268,above_preferred,27
W06-B148,W06,Ward 6,30743.703045505463,3.074370304550546,10000,207.4370304550546,above_preferred,24
W06-B149,W06,Ward 6,30589.35145191543,3.058935145191543,10000,205.8935145191543,above_preferred,32
W06-B150,W06,Ward 6,30520.776212028737,3.0520776212028737,10000,205.20776212028738,above_preferred,27
W06-B151,W06,Ward 6,30379.362503465225,3.0379362503465224,10000,203.79362503465222,above_preferred,21
W06-B152,W06,Ward 6,30352.250235999156,3.0352250235999154,10000,203.52250235999153,above_preferred,4
W06-B153,W06,Ward 6,30141.372721150692,3.014137272115069,10000,201.4137272115069,above_preferred,2
W06-B154,W06,Ward 6,30085.87209959996,3.008587209959996,10000,200.8587209959996,above_preferred,0
W06-B155,W06,Ward 6,30005.155751731654,3.0005155751731656,10000,200.05155751731655,above_preferred,15
W06-B156,W06,Ward 6,30005.155751727052,3.000515575172705,10000,200.0515575172705,above_preferred,6
W06-B157,W06,Ward 6,30005.15575171787,3.000515575171787,10000,200.0515575171787,above_preferred,5
