full_id,osm_id,osm_type,building,reg_id,ownership,addr:subdistrict,addr:district,addr:county,military,official_name,tower:type,healthcare,generator:source,trade,nurses_num,electricity,doctors_num,operator_name,emergency,dispensing,bed_count,product,industrial,operational_status,drinking_water,shop,layer,power,public_transport,tourism,denomination,pump,man_made,waste,construction,service_times,religion,capacity,toilets:handwashing,toilets:disposal,toilets:access,fee,phone,operator,opening_hours,brand:wikidata,brand,addr:state,description,amenity,office,name,addr:street,type,building:material,building:levels,addr:city,Building_Code,Ward_Code,Block_Code,Building_Area_m2,Building_Source,AI_Confidence,Boundary_Flag
w310241860,310241860,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brick,1,Ganta,W07-B061-BLD0016,W07,W07-B061,136.2513480874887,OSM existing,,True
w310241861,310241861,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cement_block,1,Ganta,W07-B122-BLD0006,W07,W07-B122,134.0164252161287,OSM existing,,False
w310241862,310241862,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mud,1,Ganta,W07-B122-BLD0007,W07,W07-B122,92.85953634137104,OSM existing,,False
w310241864,310241864,way,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W07-B122-BLD0008,W07,W07-B122,113.5659727367962,OSM existing,,False
w310241866,310241866,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brick,1,Ganta,W07-B122-BLD0009,W07,W07-B122,160.49073684952614,OSM existing,,False
w310373172,310373172,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brick,1,Ganta,W06-B189-BLD0001,W06,W06-B189,12.94449400086039,OSM existing,,False
w310788093,310788093,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cement_block,1,Ganta,W07-B132-BLD0001,W07,W07-B132,81.8967326389678,OSM existing,,True
w310788094,310788094,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brick,1,Ganta,W07-B132-BLD0002,W07,W07-B132,147.9325517827635,OSM existing,,False
w310788096,310788096,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cement_block,1,Ganta,W07-B132-BLD0003,W07,W07-B132,112.59180929464168,OSM existing,,False
w310788097,310788097,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cement_block,1,Ganta,W07-B132-BLD0004,W07,W07-B132,74.76918887381723,OSM existing,,False
w310788098,310788098,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cement_block,1,Ganta,W07-B132-BLD0005,W07,W07-B132,129.2516477669523,OSM existing,,False
w310788099,310788099,way,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,pitlatrine,permissive,no,,,,,,,,toilets,,,,,,,Ganta,W07-B132-BLD0006,W07,W07-B132,11.177756782313232,OSM existing,,False
